Datetime,CPU
2023-04-05 00:55:29,False
2023-04-05 00:55:30,False
2023-04-05 00:55:31,False
2023-04-05 00:55:32,False
2023-04-05 00:55:33,False
2023-04-05 00:55:34,False
2023-04-05 00:55:35,False
2023-04-05 00:55:36,False
2023-04-05 00:55:37,False
2023-04-05 00:55:38,False
2023-04-05 00:55:39,False
2023-04-05 00:55:40,False
2023-04-05 00:55:41,False
2023-04-05 00:55:42,False
2023-04-05 00:55:43,False
2023-04-05 00:55:44,False
2023-04-05 00:55:45,False
2023-04-05 00:55:46,False
2023-04-05 00:55:47,False
2023-04-05 00:55:48,False
2023-04-05 00:55:49,False
2023-04-05 00:55:50,False
2023-04-05 00:55:51,False
2023-04-05 00:55:52,False
2023-04-05 00:55:53,False
2023-04-05 00:55:54,False
2023-04-05 00:55:55,False
2023-04-05 00:55:56,False
2023-04-05 00:55:57,False
2023-04-05 00:55:58,False
2023-04-05 00:55:59,False
2023-04-05 00:56:00,False
2023-04-05 00:56:01,False
2023-04-05 00:56:03,False
2023-04-05 00:56:04,False
2023-04-05 00:56:05,False
2023-04-05 00:56:06,False
2023-04-05 00:56:07,False
2023-04-05 00:56:08,False
2023-04-05 00:56:09,False
2023-04-05 00:56:10,False
2023-04-05 00:56:11,False
2023-04-05 00:56:12,False
2023-04-05 00:56:13,False
2023-04-05 00:56:14,False
2023-04-05 00:56:15,False
2023-04-05 00:56:16,False
2023-04-05 00:56:17,False
2023-04-05 00:56:18,False
2023-04-05 00:56:19,False
2023-04-05 00:56:20,False
2023-04-05 00:56:21,False
2023-04-05 00:56:22,False
2023-04-05 00:56:23,False
2023-04-05 00:56:24,False
2023-04-05 00:56:25,False
2023-04-05 00:56:26,False
2023-04-05 00:56:27,False
2023-04-05 00:56:28,False
2023-04-05 00:56:29,False
2023-04-05 00:56:30,False
2023-04-05 00:56:31,False
2023-04-05 00:56:32,False
2023-04-05 00:56:33,False
2023-04-05 00:56:34,False
2023-04-05 00:56:35,False
2023-04-05 00:56:36,False
2023-04-05 00:56:37,False
2023-04-05 00:56:38,False
2023-04-05 00:56:39,False
2023-04-05 00:56:40,False
2023-04-05 00:56:41,False
2023-04-05 00:56:42,False
2023-04-05 00:56:43,False
2023-04-05 00:56:44,False
2023-04-05 00:56:45,False
